Rank,Name,Code,Market Cap,Price,1d,Country,Description
163,Schlumberger,SLB,$85.44 B,$60.12,1.97%,USA,
164,Wuliangye Yibin,000858.SZ,$85.16 B,$21.94,2.46%,China,
165,UBS,UBS,$85.08 B,$26.34,1.39%,Switzerland,
166,Airbnb,ABNB,$84.66 B,$132.69,0.87%,USA,
167,CVS Health,CVS,$84.34 B,$65.67,0.77%,USA,
168,American Tower,AMT,$84.27 B,$180.79,0.29%,USA,"American Tower is an American operator of wireless communication equipment. The company has more than 170,000 transmission systems for data transmission and communication, mostly masts, in 17 countries worldwide."
169,CNOOC,0883.HK,$83.87 B,$1.71,1.36%,China,
170,CSL,CSL.AX,$83.83 B,$173.80,1.62%,Australia,
171,Chubb,CB,$83.49 B,$203.29,1.20%,Switzerland,
172,ICICI Bank,IBN,$82.16 B,$23.46,1.25%,India,
173,Cigna,CI,$81.88 B,$276.67,0.15%,USA,"CIGNA is an American insurance company that is specialized in various types of health insurance, in particular with corporate customers."
174,Compagnie Financière Richemont,CFR.SW,$80.87 B,$141.83,0.80%,Switzerland,
175,Becton Dickinson,BDX,$80.78 B,$278.46,0.35%,USA,"Becton Dickinson, also known as BD, is one of the largest international medical technology companies that develops, produces and sells disposable medical devices, device systems and reagents. BD supplies hospitals, health care facilities, life scientists, clinical laboratories and the pharmaceutical industry."
176,Citigroup,C,$80.08 B,$41.59,0.73%,USA,
177,Progressive,PGR,$79.26 B,$135.48,1.51%,USA,
178,Merck KGaA,MRK.DE,$78.66 B,$180.93,0.48%,Germany,
179,Boston Scientific,BSX,$78.51 B,$53.62,0.59%,USA,"Boston Scientific Corporation is an American medical device manufacturer. The company offers solutions for the following medical specialties: electrophysiology, gastroenterology, vascular surgery, gynecology, interventional cardiology, interventional radiology, female pelvic medicine, neurological surgery, orthopedic surgery, pulmology, pain medicine, structural heart, urology."
180,Altria Group,MO,$78.27 B,$44.11,0.25%,USA,"Altria Group, Inc., known as Philip Morris Companies Inc. until 2003, is an American corporation that operates worldwide. It is one of the world's largest producers and marketers of tobacco and cigarettes."
181,HCA Healthcare,HCA,$77.24 B,$280.81,1.27%,USA,
182,Micron Technology,MU,$77.09 B,$70.39,0.64%,USA,
183,Al Rajhi Bank,1120.SR,$77.03 B,$19.26,0.41%,S. Arabia,
184,EOG Resources,EOG,$76.60 B,$130.98,1.83%,USA,
185,BNP Paribas,BNP.PA,$76.45 B,$64.64,0.20%,France,
186,Mercedes-Benz,MBG.DE,$76.42 B,$71.44,2.49%,Germany,
187,Blackstone Group,BX,$75.44 B,$104.49,1.77%,USA,
188,China Shenhua Energy,601088.SS,$75.16 B,$3.95,2.06%,China,
189,Fiserv,FI,$74.86 B,$122.81,1.17%,USA,
190,Canadian Pacific Railway,CP,$74.86 B,$80.37,1.25%,Canada,
191,Illinois Tool Works,ITW,$74.80 B,$247.37,0.01%,USA,
192,Iberdrola,IBE.MC,$74.66 B,$11.76,1.09%,Spain,
193,Bank Central Asia,BBCA.JK,$74.38 B,$0.60,0.54%,Indonesia,
194,Palo Alto Networks,PANW,$74.23 B,$242.72,0.24%,USA,"Palo Alto Networks, Inc. is an American multinational IT security company headquartered in Santa Clara, California. Its core products are a platform that includes advanced firewalls."
195,Canadian National Railway,CNI,$74.19 B,$113.17,0.50%,Canada,
196,British American Tobacco,BTI,$73.66 B,$32.94,0.78%,UK,"British American Tobacco Plc or BAT is one of the largest tobacco companies in the world. The company offers more than 200 brands including Lucky Strike, HB, Pall Mall, Viceroy and Javaanse Jongens."
197,Southern Company,SO,$73.30 B,$67.22,0.75%,USA,
198,China Yangtze Power,600900.SS,$73.29 B,$3.00,1.13%,China,
199,CME Group,CME,$72.98 B,$202.89,0.10%,USA,"The CME Group is one of the world's largest options exchanges and the largest futures exchange in the world, based in Chicago in the state of Illinois, the company was formed on July 12, 2007 through the merger of the Chicago Board of Trade and Chicago Mercantile Exchange."
200,Equinix,EQIX,$72.74 B,$777.52,0.49%,USA,
